id,name,org,city,country,lat,lon,tier,domain,maturity,charact,ai,scale,invest_musd,invest_label,start,url,sources,blurb
alab,A-Lab,Berkeley / LBNL,Berkeley,USA,37.87,-122.27,academic,materials,operational,single-technique,strong,single,,—,2023,https://ceder.berkeley.edu/research-areas/autonomous-experimentation-for-accelerated-materials-discovery/,https://doi.org/10.1038/s41586-023-06734-w ; https://newscenter.lbl.gov/2023/04/17/meet-the-autonomous-lab-of-the-future/,"Closed-loop robotic synthesis, characterisation, and ML-driven decision-making for inorganic solid-state materials, targeting 10-100x faster discovery."
polybot,Polybot,Argonne (CNM),Lemont,USA,41.67,-87.99,academic,materials,operational,multi-technique,strong,single,,—,2024,https://www.anl.gov/cnm/article/transforming-electronic-polymer-manufacturing-with-polybot,https://www.anl.gov/article/argonnes-selfdriving-lab-accelerates-the-discovery-process-for-materials-with-multiple-applications ; https://spectrum.ieee.org/autonomous-lab-argonne-polybot,"AI-driven autonomous platform at Argonne CNM that synthesises, prints, and tests electronic polymer films for solar cells, biosensors, and recyclable devices."
cmucloud,CMU Cloud Lab,Carnegie Mellon,Pittsburgh,USA,40.44,-79.99,academic,cross-domain,operational,multi-technique,strong,single,,—,2021,https://cloudlab.cmu.edu/,https://www.cmu.edu/mcs/research/cloud-lab/index.html ; https://www.cmu.edu/news/stories/archives/2021/august/first-academic-cloud-lab.html,"Remote-access 24/7 facility with 200+ instruments letting researchers anywhere design and run autonomous chemistry, biology, and materials experiments."
coscient,Coscientist,CMU (Gomes Group),Pittsburgh,USA,40.45,-79.95,academic,chemistry,operational,synthesis-only,strong,single,,—,2023,https://www.cmu.edu/chemistry/news/2023/1220_ai-coscientist-automates-discovery.html,https://doi.org/10.1038/s41586-023-06792-0 ; https://www.cmu.edu/news/stories/archives/2023/december/cmu-designed-artificially-intelligent-coscientist-automates-scientific-discovery,"LLM-driven agent from Gabe Gomes' group that reads literature, plans syntheses, and controls liquid-handling robots from natural-language prompts."
abolh,Abolhasani Lab,NC State,Raleigh,USA,35.78,-78.64,academic,chemistry,operational,single-technique,strong,single,,—,2020,https://www.abolhasanilab.com/,https://cbe.ncsu.edu/abolhasani-hit-fast-forward/ ; https://research.ncsu.edu/nc-state-receives-3m-from-arpa-e-to-advance-self-driving-laboratory-research/,"Self-driving fluidic lab combining microreactor flow chemistry, robotics, and AI to accelerate perovskite quantum dots and energy-relevant materials."
genesis,Genesis,Chalmers (King Group),Gothenburg,Sweden,57.69,11.98,academic,biology,prototype,multi-technique,strong,single,1.3,£1M,2020,https://www.automationof.science/,https://www.chalmers.se/en/departments/cse/our-research/data-science-and-ai/king-lab/ ; https://research.chalmers.se/en/person/rossk,Ross King's third-generation Robot Scientist programme pursuing fully automated hypothesis generation and testing across biology and chemistry.
cooper,Cooper Group / MIF Liverpool,"U Liverpool (MIF, opened 2017; CMD forerunner 2007)",Liverpool,UK,53.41,-2.99,academic,materials,operational,multi-technique,strong,"MIF · 12,000 m²",81,£81M MIF (Unilever £25M + UKRPIF £11M),2017,https://www.liverpool.ac.uk/materials-innovation-factory/,https://www.liverpool.ac.uk/cooper-group/,"Andy Cooper's mobile robot chemists roam the Materials Innovation Factory, autonomously running photocatalyst, porous-material, and CO₂-capture experiments; the £81M MIF opened in 2017, building on the robotic Centre for Materials Discovery running since 2007."
helma,HELMA (Helmholtz Acceleration Alliance),Helmholtz Assn (KIT lead),Karlsruhe,Germany,49.01,8.41,national,cross-domain,operational,multi-technique,strong,pan-Helmholtz,,Internal Helmholtz funding,2024,https://www.helma.kit.edu/,https://www.helmholtz.de/en/research/research-fields/matter/ ; https://www.helmholtz.de/en/newsroom/article/a-revolution-with-ai-and-robotics/,"KIT-led Helmholtz consortium positioning Germany's autonomous SDLs for health, energy storage, catalysis, and electronics in smart data centres."
biopacific,BioPACIFIC MIP,UCLA + UCSB (NSF MIP),Los Angeles,USA,34.07,-118.44,national,biomaterials,operational,integrated,strong,NSF MIP,43,$43.5M (DMR-1933487 + DMR-2445868),2020,https://biopacificmip.org/,https://cnsi.ucla.edu/nsf-biopacific-mip/ ; https://www.sharedinstrumentation.ucsb.edu/facilities/california-nanosystems-institute/biopacific-mip,"NSF Materials Innovation Platform at UCSB and UCLA offering free peer-reviewed access to automated, AI-driven synthesis and characterisation of bio-derived materials."
cusp_cam,Cusp AI (Cambridge HQ),Cusp AI (M. Welling co-founder),Cambridge,UK,52.21,0.12,commercial,materials,operational,—,strong,AI-for-materials startup,100,$100M+ Series A · $520M val,2024,https://www.cusp.ai/,https://www.eu-startups.com/2025/09/british-startup-cuspai-secures-e85-million-to-transform-materials-discovery-with-ai,"AI-driven materials discovery startup (Max Welling co-founder) designing functional crystals on demand for carbon capture, batteries, PFAS removal, and semiconductors."
cusp_ams,Cusp AI (Amsterdam node),Cusp AI (Amsterdam Science Park),Amsterdam,Netherlands,52.36,4.95,commercial,materials,operational,—,strong,NL satellite · Welling base,,Part of $520M val,2024,https://www.cusp.ai/,https://www.eu-startups.com/2025/09/british-startup-cuspai-secures-e85-million-to-transform-materials-discovery-with-ai,Amsterdam Science Park (Lab42) node of CuspAI running the Welling-led ML stack for generative inverse design of functional materials.
amadap,AMADAP,FAU Erlangen,Erlangen,Germany,49.6,11,academic,materials,prototype,multi-technique,strong,single,,—,2021,https://www.solar.fau.de/,https://doi.org/10.1021/acs.accounts.4c00095 ; https://www.solar.fau.de/2024/04/23/toward-self-driven-autonomous-material-and-device-acceleration-platforms-amadap-for-emerging-photovoltaics-technologies/,"Brabec group platform spanning high-throughput synthesis, SPINBOT spin-coating, and the AMANDA device line to autonomously discover emerging photovoltaic materials."
nims,NIMS Autonomous AI Network,NIMS + Tsukuba,Tsukuba,Japan,36.08,140.11,academic,materials,prototype,single-technique,strong,multi-inst,,—,2015,https://www.nims.go.jp/group/autonomous/index_en.html,https://www.nims.go.jp/eng/press/2025/12/202512100.html ; https://doi.org/10.1038/s41524-025-01851-8,NIMS-Tsukuba framework letting multiple autonomous AI labs spontaneously share data and coordinate searches across different material systems.
dlab,dLab,U Tokyo,Tokyo,Japan,35.71,139.76,academic,materials,operational,multi-technique,strong,single,,—,2025,https://www.u-tokyo.ac.jp/focus/en/press/z0508_00407.html,https://pubs.rsc.org/en/content/articlehtml/2025/dd/d4dd00387j,"Hitosugi-group digital lab chaining thin-film synthesis with XRD, Raman, conductivity, and optics for fully automated standardised materials data."
kaist,KAIST-POSCO Autonomous Lab,KAIST + POSCO,Daejeon,Korea,36.37,127.36,academic,batteries,operational,single-technique,strong,industry-academia,,—,2025,https://www.kaist.ac.kr/en/,https://www.theengineer.co.uk/content/news/ai-lab-speeds-battery-cathode-discovery ; https://www.miragenews.com/ai-robotic-arms-achieve-material-breakthrough-1512230/,Dong-Hwa Seo's industry-academia autonomous lab with POSCO N.EX.T Hub cutting battery cathode discovery time by 93 percent.
kist,KIST MARK System,KIST,Seoul,Korea,37.6,127.05,academic,chemistry,prototype,multi-technique,strong,single,,—,2024,https://www.kist.re.kr/eng/index.do,https://www.kist.re.kr/eng/research/materials-latest-research-news.do?mode=view&articleNo=13112 ; https://www.eurekalert.org/news-releases/1042809,KIST's robotic synthesis + characterisation + ML workflow for accelerated discovery across battery and functional materials.
snu,SNU SDL Ecosystem,SNU / Jung Lab,Seoul,Korea,37.46,126.95,academic,cross-domain,operational,multi-technique,strong,multi-lab,,—,2026,https://en.snu.ac.kr/research/highlights?md=v&bbsidx=153588,https://www.chem.ubc.ca/ubc-s-hein-lab-and-seoul-national-university-partnership-expanding-self-driving-labs-clean-energy,"Yousung Jung's group uses LLMs to predict material synthesisability, anchoring a wider SNU autonomous-lab cluster across batteries and catalysis."
ustc,Jun Jiang Group / ChemAgents + Robot Chemist,USTC Hefei (Jun Jiang),Hefei,China,31.83,117.25,academic,chemistry,operational,multi-technique,strong,multi-robot,,—,2022,http://staff.ustc.edu.cn/~jiangj1/,http://staff.ustc.edu.cn/~jiangj1/ ; https://doi.org/10.1038/s44286-024-00139-w ; https://www.nature.com/articles/s44286-022-00018-3,Robotic AI-Chemist 2.0 lineage couples on-board LLM multi-agent ChemAgents with cloud-linked lab robots for autonomous chemistry.
noel,Noël Group,U Amsterdam,Amsterdam,Netherlands,52.36,4.88,academic,chemistry,operational,single-technique,strong,single,,—,2018,https://www.noelresearchgroup.com/,https://www.uva.nl/en/profile/n/o/t.noel/t.noel.html,"Flow chemistry group running RoboChem, an autonomous photocatalytic reaction platform that optimises continuous-flow photochemistry without human intervention."
differ-er,DIFFER Autonomous Energy Materials Discovery (Süleyman Er),DIFFER (NWO institute),Eindhoven,Netherlands,51.448,5.49,academic,energy,operational,single-technique,strong,single,,—,2017,https://www.differ.nl/research/autonomous-energy-materials-discovery,https://www.differ.nl/research/autonomous-energy-materials-discovery ; https://www.amdlab.nl/,"Computational group screening energy materials (redox-flow electrolytes, electrocatalysts) via high-throughput DFT plus ML over public chemical databases."
lila,Lila Sciences,Lila.ai,Cambridge MA,USA,42.37,-71.11,commercial,drug-discovery,operational,multi-technique,strong,"22,000 m²",550,$550M,2023,https://www.lila.ai/,https://www.flagshippioneering.com/news/press-release/flagship-pioneering-unveils-lila-sciences-to-build-superintelligence-in-science ; https://www.lila.ai/about,"Flagship Pioneering venture building Scientific Superintelligence: AI agents coupled to autonomous wet labs across therapeutics, materials, energy, and chemicals."
medra,Medra AI,"Medra, Inc. (Michelle Lee)",San Francisco,USA,37.79,-122.4,commercial,drug-discovery,operational,synthesis-only,strong,"Lab 001 · 38,000 sq ft",63,$63M total (Series A Dec 2025),2024,https://www.medra.ai,https://www.medra.ai/about ; https://www.businesswire.com/news/home/20251211748411/en/Medra-Raises-$52-Million-Series-A-to-Build-Physical-AI-Scientists ; https://www.medra.ai/medra-lab-001,"Physical AI scientists for life-science labs: vision-guided robot arms operating standard instruments end-to-end across gene editing, cell biology, and microbial discovery."
periodic,Periodic Labs,Periodic Labs,San Francisco,USA,37.78,-122.42,commercial,materials,operational,synthesis-only,strong,commercial,,Undisclosed VC,2025,https://periodic.com/,https://techcrunch.com/2025/10/20/top-openai-google-brain-researchers-set-off-a-300m-vc-frenzy-for-their-startup-periodic-labs/,"Stealth-emerged lab building AI scientists with paired autonomous laboratories, starting with materials physics: superconductors and semiconductor thermal materials."
xtalpi,XtalPi 晶泰科技,XtalPi (HKEX),Shenzhen,China,22.54,114.06,commercial,drug-discovery,industrial,multi-technique,strong,"10,000+ m² · 300 bots",6000,HK$47B pipeline,2015,https://en.xtalpi.com/,https://en.xtalpi.com/about/ ; https://en.wikipedia.org/wiki/XtalPi,"HKEX-listed AI + quantum-physics + robotics platform running autonomous drug-discovery and materials labs across Shenzhen, Shanghai, and Boston."
labgen,LabGenius,LabGenius,London,UK,51.49,-0.08,commercial,biology,operational,single-technique,strong,commercial,,Undisclosed VC,2019,https://labgeniustx.com/,https://labgeniustx.com/sanofi/,Bermondsey biotech whose EVA platform closed-loops ML design with automated wet-lab cycles to engineer selectivity-enhanced antibodies for solid tumours.
deepp,Deep Principle 深度原理,Deep Principle,Hangzhou,China,30.27,120.15,commercial,drug-discovery,operational,synthesis-only,strong,commercial,,A2 round,2024,https://www.deepprinciple.com/,http://hjkgrp.mit.edu/post/26-03-31-heather-deep-principle/ ; https://www.weforum.org/organizations/deep-principle/,"Agentic AI for materials and chemistry. ECML framework orchestrates DFT, MD, ML, and wet-lab experiments; recently hired MIT's Heather Kulik as Chief Scientist."
qingkui,Qingkui 青葵智造,Qingkui,Yichang,China,30.69,111.29,commercial,chemistry,industrial,multi-technique,strong,500+ cond/run,,Municipal+VC,2021,https://www.quiktech.cn/,,"Beijing-registered robotics-plus-AI scale-up building chemistry workstations for pharma, energy, and advanced materials; planning a 100-robot AI cloud lab in Yichang."
yong,Yongjiang Lab 甬江实验室,Provincial (Ningbo),Ningbo,China,29.87,121.54,commercial,chemistry,operational,multi-technique,strong,provincial,,Government,2021,https://www.ylab.ac.cn/en/,https://www.ylab.ac.cn/en/about_us/ ; https://www.ylab.ac.cn/en/news/yJ_news/03-18/1555490091.html,"Zhejiang provincial materials research institute running advanced functional, structural, and transformative materials platforms including a 6-inch micro-nano device line."
dpt,DP Technology / Bohrium 深势科技,DP Technology,Beijing,China,39.9,116.4,commercial,materials,operational,multi-technique,strong,1800+ instruments,,VC,2018,https://www.dp.tech/en,https://bohrium.dp.tech/en-US ; https://www.dp.tech/en/about,"AI-for-Science company behind Bohrium, Hermite, Piloteye, and Uni-Lab, building foundation-model infrastructure for chemistry, biology, and batteries."
jiageng,Jiageng Innovation Lab 嘉庚创新实验室,Xiamen University / Fujian Province,Xiamen,China,24.44,118.1,academic,materials,operational,multi-technique,strong,"45,000+ m²",,Provincial,2019,https://www.ikkem.com/,,"Provincial mega-institute building China's first dedicated energy-storage research infrastructure, spanning low-carbon energy, displays, and graphene."
shailab,Shanghai AI Laboratory,National AI Lab,Shanghai,China,31.23,121.47,academic,cross-domain,operational,synthesis-only,strong,national,,Government,2020,https://www.shlab.org.cn/,https://open-sciencelab.github.io/index.html,National AGI lab whose AGI4S programme builds Intern-S1 scientific foundation models and the Intern-Discovery agent-plus-instrument platform.
bytedance,ByteDance Seed AI4S,ByteDance,Beijing,China,39.99,116.31,commercial,drug-discovery,operational,synthesis-only,strong,$12B+ AI infra,,Corporate,2024,https://seed.bytedance.com/en/direction/ai_for_science,https://seed.bytedance.com/en/ ; https://seed.bytedance.com/en/research,"ByteDance's foundation-model team applying AI to biological structure prediction (Protenix), quantum chemistry, and topological materials physics."
deeph,DeepH (Duan Group),Tsinghua University,Beijing,China,40,116.33,academic,materials,operational,synthesis-only,strong,single,,—,2022,https://www.sciencedirect.com/science/article/pii/S2095927324004079,https://arxiv.org/abs/2406.10536 ; https://hyper.ai/en/news/32891,"Tsinghua physics group developing DeepH, a universal neural-network DFT Hamiltonian model accelerating electronic-structure prediction across arbitrary material structures."
surff,SurFF / Uni-MOF (Wang Group),Tsinghua University,Beijing,China,39.98,116.31,academic,materials,operational,synthesis-only,strong,single,,—,2024,https://www.nature.com/articles/s43588-025-00839-0,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6447d756e4bbbe4bbf3afeaa/original/metal-organic-frameworks-meet-uni-mof-a-revolutionary-gas-adsorption-detector.pdf,"Xiaonan Wang's group building foundation models (SurFF, Uni-MOF) for catalyst surfaces and MOF gas adsorption at high-throughput screening scale."
novartis,Novartis MicroCycle,Novartis,Basel,Switzerland,47.56,7.59,commercial,drug-discovery,operational,multi-technique,strong,pharma-internal,,Internal,2024,https://www.novartis.com/stories/new-drug-manufacturing-tools-change-pharma-chemistry,https://doi.org/10.1021/acs.jmedchem.3c02029 ; https://www.chemspeed.com/news/microcycle/,"Novartis Basel in-house self-driving lab integrating micro-scale synthesis, automated purification, real-time bioassays, and ML-driven compound design."
chemspeed,Chemspeed / SciY,Bruker,Füllinsdorf,Switzerland,47.52,7.69,commercial,cross-domain,operational,multi-technique,strong,vendor,,Public (BRKR),1998,https://www.chemspeed.com/,https://ir.bruker.com/press-releases/press-release-details/2024/Bruker-Announces-Closing-of-Chemspeed-Technologies-AG-Acquisition/default.aspx ; https://www.sciy.com/,"Swiss lab-automation vendor selling modular robotic synthesis, formulation, and characterisation workflows for materials, pharma, and battery R&D."
fraun,Fraunhofer MAPs,Fraunhofer ISC,Würzburg,Germany,49.79,9.93,commercial,materials,operational,multi-technique,strong,applied network,,€20M,2020,https://www.isc.fraunhofer.de/en/fields-of-activity/applications/digital-transformation/maps-materials-acceleration-platforms.html,https://www.isc.fraunhofer.de/en.html ; https://doi.org/10.1002/adma.202407791,"Fraunhofer ISC programme coupling robotic synthesis and characterisation with AI-driven design for glass, battery, and functional materials."
ecl,Emerald Cloud Lab,ECL,South San Francisco,USA,37.65,-122.41,commercial,cross-domain,operational,multi-technique,strong,SaaS · 200+ inst,,Undisclosed VC,2015,https://www.emeraldcloudlab.com/,https://en.wikipedia.org/wiki/Emerald_Cloud_Lab,Remote-controlled cloud laboratory letting scientists design and run wet-lab experiments on 200+ instrument models via a unified software interface.
ginkgo,Ginkgo Bioworks,Ginkgo,Boston,USA,42.36,-71.06,commercial,biology,operational,synthesis-only,strong,300K+ sqft,786,$786M raised,2015,https://www.ginkgo.bio/,https://www.ginkgo.bio/autonomous-lab ; https://www.ginkgo.bio/about,"Synthetic-biology platform offering autonomous strain-engineering foundries and cloud-lab access for antibody, enzyme, and cell-line programmes."
cmuai,CMU AI Science Foundry,Carnegie Mellon,Pittsburgh,USA,40.44,-79.95,commercial,cross-domain,operational,multi-technique,strong,national-academic,,Federal+Univ,2024,https://ai-science-foundry.cmu.edu/,https://ai-science-foundry.cmu.edu/about-ai-science-foundry ; https://www.cmu.edu/future-of-science/cloud-lab/index.html,"Carnegie Mellon initiative running the ASAP autonomous platform for AI-guided experiments in hard materials, chemistry, and biology."
strateos,Strateos,Strateos,San Diego,USA,32.71,-117.16,commercial,drug-discovery,operational,single-technique,strong,SaaS · downsized,,VC,2013,https://strateos.com/,https://strateos.com/virtual-lab-tour/ ; https://investor.lilly.com/news-releases/news-release-details/eli-lilly-and-company-collaboration-strateos-inc-launch-remote,"Cloud-lab-as-a-service operating robotic San Diego and Menlo Park facilities for remote small-molecule, biologics, and synthetic-biology workflows."
kebotix,Kebotix,Kebotix,Cambridge MA,USA,42.37,-71.1,commercial,materials,operational,synthesis-only,strong,commercial,24,$23.7M Series B,2017,https://www.kebotix.com/,https://www.kebotix.com/about-us,"Self-driving lab platform pairing generative chemistry, automated synthesis, and robotic characterisation for specialty-chemicals and advanced-materials discovery."
arctoris,Arctoris,Arctoris,Oxford,UK,51.75,-1.26,commercial,drug-discovery,operational,multi-technique,strong,CRO,15,~$15M,2018,https://www.arctoris.com/,https://www.arctoris.com/about-us/ ; https://www.arctoris.com/arctoris-automated-platform-accelerates-drug-discovery/,"Oxford-based automated drug-discovery CRO running the Ulysses robotic platform for reproducible biochemical, cell, and molecular assay data."
culture,Culture Biosciences,Culture Bio,South San Francisco,USA,37.66,-122.42,commercial,biology,operational,synthesis-only,strong,hybrid cloud,107,$107M,2019,https://www.culturebiosciences.com/,https://www.prnewswire.com/news-releases/culture-biosciences-unveils-stratyx-250-the-first-cloud-integrated-mobile-bioreactor-for-cell-culture-process-development-302415306.html,Cloud-connected 250 mL bioreactor service for outsourced upstream bioprocess development with remote monitoring and bioprocess software.
automata,Automata (LINQ),Automata,London,UK,51.52,-0.1,labos,orchestration,operational,—,strong,platform,45,$45M Series C,2023,https://www.automata.tech/,https://www.automata.tech/linq ; https://www.moleculardevices.com/newsroom/news/molecular-devices-partnership-with-automata-linq-platform,LINQ platform orchestrates modular benchtop robotics with a node-based workflow canvas and Python SDK for genomics and assay screening.
benchling,Benchling,Benchling,San Francisco,USA,37.77,-122.4,labos,orchestration,operational,—,strong,SaaS,412,$412M · $6B val,2014,https://www.benchling.com/,https://www.benchling.com/about-us,"Cloud R&D platform combining ELN, registry, inventory, and workflow tools for biotech, used by most large biopharma."
artificial,Artificial,Artificial,London,UK,51.5,-0.12,labos,orchestration,operational,—,strong,SaaS,,Undisclosed,2018,https://www.artificial.com/,https://www.fiercebiotech.com/medtech/microsoft-leads-21m-investment-artificial-s-automation-platform-for-life-science-labs,"aLab Suite orchestrates instruments, robots, people, and data into closed-loop digital workflows for life-science labs (Palo Alto, USA · Microsoft M12-backed)."
synthace,Synthace,Synthace,London,UK,51.53,-0.11,labos,orchestration,operational,—,strong,SaaS,,Undisclosed,2014,https://www.synthace.com/,https://www.synthace.com/about ; https://www.synthace.com/how-it-works,"Digital experiment platform for designing, simulating, and executing high-dimensional multivariate experiments on lab automation hardware."
unchained,Unchained Labs (Stuntman),Unchained Labs,Pleasanton,USA,37.66,-121.88,labos,orchestration,operational,—,strong,platform,,Undisclosed,2016,https://www.unchainedlabs.com/,https://www.unchainedlabs.com/stuntman/ ; https://www.prnewswire.com/news-releases/unchained-labs-explodes-into-ai-driven-automation-launches-stuntman-302681892.html,"Stuntman is a natural-language AI automation platform with flexible hardware for biologics, gene therapy, and reaction screening."
unitelabs,UniteLabs,UniteLabs,Munich,Germany,48.14,11.58,labos,orchestration,operational,—,strong,Lab OS,,Undisclosed,2025,https://unitelabs.io/,https://www.munich-startup.de/en/startups/unitelabs/ ; https://sila-standard.com/sila_device/unitelabs-connectivity-platform/,"Python-based lab automation OS connecting 175+ instruments through one API for code-defined, version-controlled workflows."
cenevo,Cenevo (Titian + Labguru),Titian + Labguru merger,London,UK,51.5,-0.09,labos,orchestration,operational,—,strong,SaaS,,Undisclosed,2025,https://www.cenevo.com/,https://www.cenevo.com/about ; https://www.cenevo.com/press/labguru-and-titian-software-rebrand-as-cenevo,"Post-merger entity behind Mosaic sample tracking and Labguru ELN/LIMS, integrating 150+ instruments across biopharma R&D."
highres,HighRes + Opentrons,HighRes Biosolutions × Opentrons,Beverly,USA,42.56,-70.88,labos,orchestration,prototype,—,strong,platform,,Partnership,2005,https://highresbio.com/,https://opentrons.com/,Modular robotic workcells and Cellario scheduling software paired with Opentrons via a 2026 agent-to-agent AI workflow partnership.
atinary,Atinary,Atinary,Lausanne,Switzerland,46.52,6.63,labos,orchestration,operational,—,strong,Lab OS,,Undisclosed,2019,https://atinary.com/,https://atinary.com/technology/sdlabs/ ; https://www.chemspeed.com/news/atinaryxchemspeed/,SDLabs no-code platform pairing Bayesian and ML optimizers with robotic hardware for closed-loop chemistry and materials discovery.
abb,ABB Robotics,ABB,Zürich,Switzerland,47.37,8.54,labos,orchestration,operational,—,strong,industrial,,Public,2023,https://new.abb.com/products/robotics,https://global.abb/group/en/ ; https://new.abb.com/locations/group-headquarters,Industrial robotics arm supplying GoFa and YuMi collaborative arms plus AVR autonomous mobile robots for multi-vendor lab workcells.
jensen,Jensen Lab,MIT,Cambridge MA,USA,42.36,-71.09,academic,chemistry,operational,integrated,strong,single,,Science 2023: 312 molecules,2018,https://jensenlab.mit.edu/,https://cheme.mit.edu/profile/klavs-f-jensen/ ; https://news.mit.edu/2018/technology-automates-chemical-synthesis-0920,"MIT ChemE group integrating flow reactors, robotics, online analytics, and machine learning into autonomous platforms for reaction discovery and process development."
cronin,Cronin Group / Chemify,U Glasgow,Glasgow,UK,55.87,-4.29,academic,chemistry,operational,limited,strong,single + Chemifarm,,Chemify (startup),2018,https://www.chem.gla.ac.uk/cronin/,https://www.chemify.io/ ; https://www.chemify.io/about,"Glasgow group behind the Chemputer and chemputation: synthesis encoded as executable code on universal robotic platforms, commercialised through spinout Chemify."
grzybowski,Grzybowski Group / IBS-CARS,UNIST + Polish Acad. Sci.,Ulsan,Korea,35.54,129.26,academic,chemistry,operational,none,strong,IBS center,,Chematica/Synthia,2021,https://www.ibs.re.kr/eng/sub02_06_01.do,https://scholar.google.com/citations?user=hjS0xZ0AAAAJ&hl=pl,IBS Center for Algorithmic and Robotized Synthesis pairing AI retrosynthesis (Chematica/Synthia) with closed-loop chemical robotics.
